index,borough,latitude,longitude,year,week,day,hour,1_engine_presence
1,1,"40,72951","-73,99388",2023,43,4,8,1
2,1,"40,72951","-73,99388",2023,43,4,8,1
4,1,"40,72951","-73,99388",2023,43,4,8,1
5,1,"40,72951","-73,99388",2023,43,4,8,1
6,1,"40,72951","-73,99388",2023,43,4,8,1
7,1,"40,72951","-73,99388",2023,43,4,8,1
9,1,"40,72951","-73,99388",2023,20,1,20,1
10,1,"40,72951","-73,99388",2023,20,1,20,1
12,1,"40,72951","-73,99388",2023,20,1,20,1
13,1,"40,72951","-73,99388",2023,20,1,20,1
15,1,"40,72951","-73,99388",2023,20,1,20,1
16,1,"40,72951","-73,99388",2023,35,6,11,1
17,1,"40,72951","-73,99388",2023,35,6,11,1
18,1,"40,72951","-73,99388",2023,35,6,11,1
19,1,"40,72951","-73,99388",2023,35,6,11,1
20,1,"40,72951","-73,99388",2023,35,6,11,1
21,1,"40,72951","-73,99388",2023,35,6,11,1
24,1,"40,72951","-73,99388",2023,31,1,9,1
30,1,"40,72951","-73,99388",2023,31,1,9,1
31,1,"40,72951","-73,99388",2023,31,1,9,1
42,1,"40,72951","-73,99388",2023,22,5,15,1
43,1,"40,72951","-73,99388",2023,22,5,15,1
46,1,"40,72951","-73,99388",2023,22,5,15,1
48,1,"40,72951","-73,99388",2023,22,5,15,1
52,1,"40,72951","-73,99388",2023,46,6,18,1
53,1,"40,72951","-73,99388",2023,46,6,18,1
56,1,"40,72951","-73,99388",2023,46,6,18,1
58,1,"40,72951","-73,99388",2023,46,6,18,1
59,1,"40,72951","-73,99388",2023,46,6,18,1
62,1,"40,72951","-73,99388",2023,51,0,12,1
71,1,"40,72951","-73,99388",2023,51,0,12,1
74,1,"40,72951","-73,99388",2023,28,0,19,1
75,1,"40,72951","-73,99388",2023,28,0,19,1
78,1,"40,72951","-73,99388",2023,28,0,19,1
79,1,"40,72951","-73,99388",2023,28,0,19,1
80,1,"40,72951","-73,99388",2023,28,0,19,1
81,1,"40,72951","-73,99388",2023,28,0,19,1
83,1,"40,72951","-73,99388",2023,44,5,20,1
84,1,"40,72951","-73,99388",2023,44,5,20,1
86,1,"40,72951","-73,99388",2023,44,5,20,1
88,1,"40,72951","-73,99388",2023,44,5,20,1
89,1,"40,72951","-73,99388",2023,44,5,20,1
91,1,"40,72951","-73,99388",2023,52,0,15,1
94,1,"40,72951","-73,99388",2023,52,0,15,1
95,1,"40,72951","-73,99388",2023,52,0,15,1
99,1,"40,72951","-73,99388",2023,52,0,12,1
102,1,"40,72951","-73,99388",2023,52,0,12,1
103,1,"40,72951","-73,99388",2023,52,0,12,1
106,1,"40,72951","-73,99388",2023,33,6,10,1
107,1,"40,72951","-73,99388",2023,33,6,10,1
108,1,"40,72951","-73,99388",2023,33,6,10,1
111,1,"40,72951","-73,99388",2023,33,6,10,1
113,1,"40,72951","-73,99388",2023,44,5,8,1
117,1,"40,72951","-73,99388",2023,44,5,8,1
121,1,"40,72951","-73,99388",2023,26,1,20,1
123,1,"40,72951","-73,99388",2023,26,1,20,1
126,1,"40,72951","-73,99388",2023,26,1,20,1
129,1,"40,72951","-73,99388",2023,26,1,20,1
130,1,"40,72951","-73,99388",2023,24,4,20,1
134,1,"40,72951","-73,99388",2023,24,4,20,1
138,1,"40,72951","-73,99388",2023,37,5,20,1
139,1,"40,72951","-73,99388",2023,37,5,20,1
142,1,"40,72951","-73,99388",2023,37,5,20,1
144,1,"40,72951","-73,99388",2023,37,5,20,1
145,1,"40,72951","-73,99388",2023,37,5,20,1
147,1,"40,72951","-73,99388",2023,45,0,8,1
148,1,"40,72951","-73,99388",2023,45,0,8,1
150,1,"40,72951","-73,99388",2023,45,0,8,1
151,1,"40,72951","-73,99388",2023,45,0,8,1
152,1,"40,72951","-73,99388",2023,45,0,8,1
153,1,"40,72951","-73,99388",2023,45,0,8,1
156,1,"40,73033","-73,9987",2023,31,3,19,1
162,1,"40,73033","-73,9987",2023,31,3,19,1
185,1,"40,73033","-73,9987",2023,23,2,19,1
187,1,"40,73033","-73,9987",2023,23,2,19,1
190,1,"40,73033","-73,9987",2023,23,2,19,1
192,1,"40,73033","-73,9987",2023,23,2,19,1
195,1,"40,73033","-73,9987",2023,31,3,18,1
199,1,"40,73033","-73,9987",2023,31,3,18,1
219,1,"40,73033","-73,9987",2023,35,3,20,1
223,1,"40,73033","-73,9987",2023,35,3,20,1
250,1,"40,73033","-73,9987",2023,32,2,12,1
254,1,"40,73033","-73,9987",2023,32,2,12,1
255,1,"40,73033","-73,9987",2023,32,2,12,1
280,1,"40,73033","-73,9987",2023,50,1,18,1
286,1,"40,73118","-73,99443000000001",2023,18,3,8,1
296,1,"40,73118","-73,99443000000001",2023,26,3,12,1
302,1,"40,73118","-73,99443000000001",2023,34,3,12,1
306,1,"40,73118","-73,99443000000001",2023,34,3,12,1
307,1,"40,73118","-73,99443000000001",2023,34,3,12,1
311,1,"40,73118","-73,99443000000001",2023,51,4,18,1
315,1,"40,73118","-73,99443000000001",2023,51,4,18,1
319,1,"40,73118","-73,99443000000001",2023,26,0,13,1
320,1,"40,73118","-73,99443000000001",2023,26,0,13,1
322,1,"40,73118","-73,99443000000001",2023,26,0,13,1
323,1,"40,73118","-73,99443000000001",2023,26,0,13,1
328,1,"40,73118","-73,99443000000001",2023,27,0,10,1
339,1,"40,73118","-73,99443000000001",2023,40,2,9,1
340,1,"40,73118","-73,99443000000001",2023,40,2,9,1
342,1,"40,73118","-73,99443000000001",2023,40,2,9,1
344,1,"40,73118","-73,99443000000001",2023,40,2,9,1
345,1,"40,73118","-73,99443000000001",2023,40,2,9,1
348,1,"40,73118","-73,99443000000001",2023,33,0,18,1
349,1,"40,73118","-73,99443000000001",2023,33,0,18,1
352,1,"40,73118","-73,99443000000001",2023,33,0,18,1
353,1,"40,73118","-73,99443000000001",2023,33,0,18,1
354,1,"40,73118","-73,99443000000001",2023,33,0,18,1
355,1,"40,73118","-73,99443000000001",2023,33,0,18,1
359,1,"40,7275","-73,99286",2023,40,1,11,1
360,1,"40,7275","-73,99286",2023,40,1,11,1
364,1,"40,7275","-73,99286",2023,40,1,11,1
366,1,"40,7275","-73,99286",2023,40,1,11,1
367,1,"40,7275","-73,99286",2023,40,1,11,1
372,1,"40,7275","-73,99286",2023,49,5,11,1
373,1,"40,7275","-73,99286",2023,49,5,11,1
378,1,"40,7275","-73,99286",2023,49,5,11,1
379,1,"40,7275","-73,99286",2023,49,5,11,1
382,1,"40,7275","-73,99286",2023,28,4,8,1
383,1,"40,7275","-73,99286",2023,28,4,8,1
384,1,"40,7275","-73,99286",2023,28,4,8,1
385,1,"40,7275","-73,99286",2023,28,4,8,1
386,1,"40,7275","-73,99286",2023,28,4,8,1
387,1,"40,7275","-73,99286",2023,28,4,8,1
389,1,"40,7275","-73,99286",2023,20,6,12,1
390,1,"40,7275","-73,99286",2023,20,6,12,1
392,1,"40,7275","-73,99286",2023,20,6,12,1
393,1,"40,7275","-73,99286",2023,20,6,12,1
394,1,"40,7275","-73,99286",2023,20,6,12,1
395,1,"40,7275","-73,99286",2023,20,6,12,1
