,Fuel Type Code,Station Name,City,State,Status Code,Latitude,Longitude,ID,Country
7,Fuel,Clean Energy - Greenpoint - National Grid,Brooklyn,NY,E,"40,718037","-73,932309",108,US
8,Fuel,Canarsie - National Grid,Brooklyn,NY,E,"40,64554","-73,918344",112,US
11,Fuel,Con Edison - Van Nest Service Center,Bronx,NY,E,"40,8441883","-73,8615724",129,US
13,Fuel,Con Edison - College Point Service Center,Queens,NY,E,"40,769623","-73,843069",132,US
1500,Fuel,Bronx Zoo,Bronx,NY,E,"40,850018","-73,878128",32837,US
1501,Fuel,Trillium - MTA New York City Transit - West Farms/Coliseum Depot,Bronx,NY,E,"40,838672","-73,877566",32838,US
1502,Fuel,Trillium - MTA - Spring Creek,Brooklyn,NY,E,"40,661038","-73,864438",32839,US
1503,Fuel,Trillium - MTA New York City Transit - Jackie Gleason Bus Depot,Brooklyn,NY,E,"40,6529","-74,0023",32840,US
1958,Fuel,Manhattan Beer,Bronx,NY,E,"40,808151","-73,902589",35060,US
2977,ELEC,James J Peters VA Medical Center,Bronx,NY,E,"40,867403","-73,906405",41240,US
3421,ELEC,Bay Ridge Nissan,Brooklyn,NY,E,"40,636324","-74,019228",44327,US
3422,ELEC,Bay Ridge Nissan,Brooklyn,NY,E,"40,636324","-74,019228",44328,US
3423,ELEC,Kings Nissan,Brooklyn,NY,E,"40,589167","-73,960707",44329,US
3424,ELEC,Kings Nissan,Brooklyn,NY,E,"40,589167","-73,960707",44330,US
6664,Fuel,JFK Airport Travel Plaza - National Grid - Clean Energy,Queens,NY,E,"40,66297896114984","-73,7921584550171",61345,US
7522,ELEC,Dana Ford Lincoln,Staten Island,NY,E,"40,587162","-74,194747",64140,US
7778,ELEC,Bay Ridge Municipal Parking Garage,Brooklyn,NY,E,"40,62215","-74,02565",65288,US
7779,ELEC,Court Square Municipal Parking Garage,Queens,NY,E,"40,745358","-73,942642",65290,US
7780,ELEC,East 149th Street Municipal Parking Garage,Bronx,NY,E,"40,817326","-73,920914",65291,US
7781,ELEC,Saint George Courthouse,Staten Island,NY,E,"40,63947","-74,076912",65296,US
10011,Fuel,Clean Energy - Bronx NY,Bronx,NY,E,"40,805695","-73,880803",77158,US
10307,Fuel,Conoco,Brooklyn,NY,E,"40,653468","-73,886256",79194,US
10316,Fuel,Trillium,Bronx,NY,E,"40,82289","-73,841375",79256,US
14366,ELEC,Parking Garage,Bronx,NY,E,"40,863131","-73,900529",94830,US
14367,ELEC,Parking Garage,Brooklyn,NY,E,"40,737171","-73,949257",94831,US
14368,ELEC,Brooklyn Navy Yard,Brooklyn,NY,E,"40,698235","-73,975114",94832,US
14379,ELEC,Delancey & Essex Municipal Parking Garage,Manhattan,NY,E,"40,719051","-73,988181",94848,US
14389,ELEC,Spectrum,Staten Island,NY,E,"40,630898","-74,168358",94861,US
15102,ELEC,Nissan of Staten Island,Staten Island,NY,E,"40,581432","-74,097694",99500,US
15699,ELEC,North 12 Parking (at the William Vale) - Tesla Supercharger,Brooklyn,NY,E,"40,721853","-73,956658",102327,US
15712,ELEC,JFK Airport Travel Plaza - Tesla Supercharger,Queens,NY,E,"40,66179","-73,79282",102341,US
16294,ELEC,WCS NS1 BOSTON RD,Bronx,NY,E,"40,846205","-73,876513",104341,US
18707,ELEC,Century Parking Corp - Tesla Destination,Bronx,NY,E,"40,878611","-73,914792",114888,US
18708,ELEC,Standard Parking 1360 Fulton Street - Tesla Destination,Brooklyn,NY,E,"40,679983","-73,946504",114889,US
18709,ELEC,Standard Parking 15 Metrotech - Tesla Destination,Brooklyn,NY,E,"40,693317","-73,9871",114890,US
18710,ELEC,Quik Park Armory Parking Inc. - Tesla Destination,Brooklyn,NY,E,"40,692372","-73,969893",114891,US
18711,ELEC,Discount Parking 180 Ashland Place - Tesla Destination,Brooklyn,NY,E,"40,689411","-73,978741",114892,US
18712,ELEC,iPark 22/34 N 6th Garage Corp - Tesla Destination,Brooklyn,NY,E,"40,718794","-73,962594",114893,US
18713,ELEC,iPark 247 N 7th Street - Tesla Destination,Brooklyn,NY,E,"40,716085","-73,954508",114894,US
18714,ELEC,Parkright 257 Gold Street - Tesla Destination,Brooklyn,NY,E,"40,696871","-73,983002",114895,US
18715,ELEC,Standard Parking Pierepoint Plaza - Tesla Destination,Brooklyn,NY,E,"40,695115","-73,990993",114896,US
18716,ELEC,Enterprise 309 Gold Street - Tesla Destination,Brooklyn,NY,E,"40,695013","-73,982843",114897,US
18717,ELEC,iPark NYC 2234 North 6th - Tesla Destination,Brooklyn,NY,E,"40,719756","-73,962933",114898,US
18718,ELEC,Standard Parking 1 Metrotech - Tesla Destination,Brooklyn,NY,E,"40,693216","-73,986716",114900,US
18719,ELEC,GGMC Belltel Car Park - Tesla Destination,Brooklyn,NY,E,"40,692645","-73,985451",114901,US
18720,ELEC,Quik Park 365 Management LLC - Tesla Destination,Brooklyn,NY,E,"40,677433","-73,990299",114902,US
18721,ELEC,GMC 388 Bridge Street - Tesla Destination,Brooklyn,NY,E,"40,691652","-73,985733",114903,US
18722,ELEC,Quik Park Brooklyn Bridge LLC - Tesla Destination,Brooklyn,NY,E,"40,693949","-74,00025",114904,US
18723,ELEC,Rapidpark 44 State Street - Tesla Destination,Brooklyn,NY,E,"40,691871","-73,998307",114905,US
18724,ELEC,Park Kwik LLC 50 Washington St. - Tesla Destination,Brooklyn,NY,E,"40,702769","-73,990584",114906,US
18725,ELEC,Kings County Parking - Tesla Destination,Brooklyn,NY,E,"40,656148","-73,940355",114907,US
18726,ELEC,1 Hotel Brooklyn Bridge - Tesla Destination,Brooklyn,NY,E,"40,702241","-73,995539",114908,US
18727,ELEC,City Parking Linc Garage - Tesla Destination,Brooklyn,NY,E,"40,71955","-73,96413",114909,US
18728,ELEC,"Littleman Driggs Parking, LLC - Tesla Destination",Brooklyn,NY,E,"40,715405","-73,958638",114910,US
18729,ELEC,GGMC Parking 66 Rockwell Pl Garage - Tesla Destination,Brooklyn,NY,E,"40,68806","-73,979449",114911,US
18730,ELEC,Standard Parking 200 Cadman Plaza West - Tesla Destination,Brooklyn,NY,E,"40,698807","-73,991859",114912,US
18731,ELEC,GGMC Parking 75 Smith St Garage - Tesla Destination,Brooklyn,NY,E,"40,688799","-73,988642",114913,US
18732,ELEC,Standard Parking 2 Metrotech - Tesla Destination,Brooklyn,NY,E,"40,692919","-73,987193",114914,US
18733,ELEC,Quik Park 81 Fleet Place LLC - Tesla Destination,Brooklyn,NY,E,"40,693208","-73,981326",114915,US
18734,ELEC,Rapidpark 906 Union Street - Tesla Destination,Brooklyn,NY,E,"40,672726","-73,971664",114916,US
18735,ELEC,MPG 100 Jay Street - Tesla Destination,Brooklyn,NY,E,"40,702004","-73,987053",114917,US
18736,ELEC,imPark 101 Bedford Ave - Tesla Destination,Brooklyn,NY,E,"40,720014","-73,95455",114918,US
18737,ELEC,The William Vale Hotel - Tesla Destination,Brooklyn,NY,E,"40,722362","-73,957208",114919,US
18787,ELEC,Icon Parking 235 W 48th - Tesla Destination,Manhattan,NY,E,"40,760856","-73,986218",114972,US
18788,ELEC,Icon Parking 360 E 65th - Tesla Destination,Manhattan,NY,E,"40,763564","-73,960236",114973,US
18789,ELEC,Icon Parking 205 E 63rd St - Tesla Destination,Manhattan,NY,E,"40,764174","-73,964533",114974,US
19048,ELEC,Angelina's Ristorante - Tesla Destination,Staten Island,NY,E,"40,51337","-74,25137",115240,US
20477,ELEC,Queens Center - Tesla Supercharger,Queens,NY,E,"40,735082","-73,87067",116809,US
21524,ELEC,Brooklyn Museum - Tesla Supercharger,Brooklyn,NY,E,"40,669936","-73,963069",122247,US
21736,ELEC,ImPark Underhill Garage - Tesla Destination,Brooklyn,NY,E,"40,67746","-73,965421",122469,US
21737,ELEC,ProPark 184 Kent Ave - Tesla Destination,Brooklyn,NY,E,"40,718763","-73,964599",122470,US
21738,ELEC,ImPark 500 4th Ave - Tesla Destination,Brooklyn,NY,E,"40,668403","-73,990389",122471,US
21739,ELEC,Sherman Parking - Tesla Destination,Brooklyn,NY,E,"40,711558","-73,967572",122472,US
21740,ELEC,iPark 34 N 7th Street - Tesla Destination,Brooklyn,NY,E,"40,720475","-73,96265",122473,US
21741,ELEC,IMPark 353 4th Ave - Tesla Destination,Brooklyn,NY,E,"40,672845","-73,986284",122475,US
21742,ELEC,MTP Parking 363 Bond Street - Tesla Destination,Brooklyn,NY,E,"40,677977","-73,990135",122476,US
21743,ELEC,MTP Parking 568 Union Ave - Tesla Destination,Brooklyn,NY,E,"40,717801","-73,951805",122477,US
21744,ELEC,ImPark Atlantic Terrace - Tesla Destination,Brooklyn,NY,E,"40,683295","-73,973753",122478,US
21745,ELEC,MTP Parking 755 Kent Ave - Tesla Destination,Brooklyn,NY,E,"40,698959","-73,9601",122479,US
21755,ELEC,iPark 400 E 85th St - Tesla Destination,Manhattan,NY,E,"40,776008","-73,949934",122489,US
21838,ELEC,INDUSTRY CITY LOT B WEST,Brooklyn,NY,E,"40,659333","-74,006419",122592,US
22030,ELEC,Queens Family Court Garage,Queens,NY,E,"40,7044805","-73,7927244",123069,US
22034,ELEC,New Lab,Brooklyn,NY,E,"40,69953","-73,974315",123075,US
22046,ELEC,New York City Transit Authority - Surface Transit Headquarters,Brooklyn,NY,E,"40,678067","-73,8997292",123088,US
22080,ELEC,Queens College - Kiely Hall,Queens,NY,E,"40,7358738","-73,8158194",123127,US
22086,ELEC,Queens Borough Hall - Municipal Parking Lot,Queens,NY,E,"40,714376","-73,826095",123134,US
22251,ELEC,Verizon - Bronx,Bronx,NY,E,"40,872524","-73,890564",123328,US
22268,ELEC,Verizon - Manhattan,Manhattan,NY,E,"40,764495","-73,996651",123345,US
