,Modelo,Tipo,Precio (USD),Descuento E ($10MIL),Depreciación anual (%),Depreciacion 1er año,Consumo mpg o kWh/100 millas,Autonomía millas,Precio (USD/galón o kWh),CO2 (g/milla),Millas/Año,Gasto combustible anual,Gasto en 6 años / cambio de carro,CO2 (Tn/6 años)
0,Toyota Camry,Combustión,"25295,0","25295,0",15,"3790,0","39,0",520,"3,821",220,"45656,25","4473,14","52133,840000000004","60,26625"
1,Ford Crown Victoria,Combustión,"40000,0","40000,0",18,"7200,0","24,0",350,"3,821",370,"45656,25","7268,86","83613,16","101,356875"
2,Nissan NV200 Taxi,Combustión,"31000,0","31000,0",17,"5270,0","24,0",400,"3,821",269,"45656,25","7268,86","74613,16","73,6891875"
3,Chevrolet Express,Combustión,"32000,0","32000,0",16,"5120,0","18,0",450,"3,821",434,"45656,25","9691,81","90150,86","118,888875"
4,Ram ProMaster City,Combustión,"26495,0","26495,0",15,"3970,0","24,0",360,"3,821",352,"45656,25","7268,86","70108,16","96,426"
5,Tesla Model 3,Eléctrico,"46990,0","36990,0",10,"3699,0","27,0",358,"0,151",0,"45656,25","1861,41","48158,46","0,0"
6,Chevrolet Bolt EV,Eléctrico,"26595,0","16595,0",11,"1830,0","29,0",259,"0,151",0,"45656,25","1999,29","28590,739999999998","0,0"
7,Nissan LEAF,Eléctrico,"27400,0","17400,0",12,"2100,0","32,0",226,"0,151",0,"45656,25","2206,11","30636,66","0,0"
8,Hyundai Kona Electric,Eléctrico,"34000,0","24000,0",13,"3120,0","25,8",258,"0,151",0,"45656,25","1778,68","34672,08","0,0"
9,Kia EV6,Eléctrico,"40990,0","30990,0",14,"4340,0","29,5",239,"0,151",0,"45656,25","2033,76","43192,56","0,0"
